"","name","num"
"1","Arctic Sea",18
"2","Atlantic, Northwest",21
"3","Atlantic, Northeast",27
"4","Atlantic, Western-Central",31
"5","Atlantic, Eastern Central",34
"6","Mediterranean And Black Sea",37
"7","Atlantic, Southwest",41
"8","Atlantic, Southeast",47
"9","Atlantic, Antarctic",48
"10","Indian Ocean, Western",51
"11","Indian Ocean, Eastern",57
"12","Indian Ocean, Antarctic And Southern",58
"13","Pacific, Northwest",61
"14","Pacific, Northeast",67
"15","Pacific, Western Central",71
"16","Pacific, Eastern Central",77
"17","Pacific, Southwest",81
"18","Pacific, Southeast",87
"19","Pacific, Antarctic",88
